,fav_number,retweet_count,tweet_count,tweet_location,year,month,totalLettersName,gender_catg,link_hue,link_sat,link_vue,sidebar_hue,sidebar_sat,sidebar_vue
6391,-0.415719644232088,-0.041047651063601,13.8698246032379,1,-1.31951174367339,-0.396309347887675,0.73388188353849,1,-1.6927141325761,-0.255053844125509,-0.338881818769995,-0.704160395279075,1.63146612320674,0.327821485643663
4257,-0.415719644232088,-0.041047651063601,13.8698246032379,1,-1.31951174367339,-0.396309347887675,0.73388188353849,1,-1.6927141325761,-0.255053844125509,-0.338881818769995,-0.704160395279075,1.63146612320674,0.327821485643663
19799,-0.421040812627422,-0.041047651063601,9.36076379008065,1,1.05751671118392,0.805209461744551,1.12965672062437,1,0.150475005906422,0.665949439661808,0.047360758113334,0.928358578956072,0.311527454126092,0.52664440453883
16279,-0.418380228429755,-0.041047651063601,9.19997210556973,1,1.05751671118392,-0.997068752703789,-0.849217464805034,0,0.139839177063476,-1.54697312616164,-2.07268183055738,-1.03380364969194,-0.783618166508508,-1.84138753973822
16194,-0.418380228429755,-0.041047651063601,9.19997210556973,1,1.05751671118392,-0.997068752703789,-0.849217464805034,0,0.139839177063476,-1.54697312616164,-2.07268183055738,-1.03380364969194,-0.783618166508508,-1.84138753973822
16217,-0.40378732722437,-0.041047651063601,8.82998302020389,0,-0.368700361730469,0.504829759336495,-2.43231681314856,1,-1.93414744731097,-2.47740647770105,-2.982497678327,-1.03380364969194,-0.783618166508508,0.707624240969045
11518,-0.421040812627422,-0.041047651063601,8.52805931072107,0,1.53292240215538,-1.5978281575199,1.12965672062437,1,0.150475005906422,0.665949439661808,0.047360758113334,0.928358578956072,0.311527454126092,0.52664440453883
11441,-0.421040812627422,-0.041047651063601,8.52805931072107,0,1.53292240215538,-1.5978281575199,1.12965672062437,1,0.150475005906422,0.665949439661808,0.047360758113334,0.928358578956072,0.311527454126092,0.52664440453883
11098,-0.421040812627422,-0.041047651063601,8.52805931072107,0,1.53292240215538,-1.5978281575199,1.12965672062437,1,0.150475005906422,0.665949439661808,0.047360758113334,0.928358578956072,0.311527454126092,0.52664440453883
11043,-0.421040812627422,-0.041047651063601,8.52805931072107,0,1.53292240215538,-1.5978281575199,1.12965672062437,1,0.150475005906422,0.665949439661808,0.047360758113334,0.928358578956072,0.311527454126092,0.52664440453883
